framework,mnames,type,eps,loss,acc,times
pytorch,convnext_small,training,8,1.4425613496700922,0.4874,418339.9375
pytorch,convnext_small,training,9,1.4166948250929514,0.4851,418289.90625
pytorch,convnext_small,training,10,1.4240908229351044,0.4844,418391.0625
pytorch,convnext_small,training,11,1.406292259891828,0.4834,418569.125
pytorch,convnext_small,training,12,1.3769904114802678,0.4898,418498.5
pytorch,convnext_small,training,13,1.380027021765709,0.4973,418421.9375
pytorch,convnext_small,training,14,1.3391184006134669,0.5184,418538.25
pytorch,convnext_small,training,15,1.3119179622332255,0.5197,418478.65625
pytorch,convnext_small,inference,1,1.350092768287659,0.5197,5264.31884765625
tensorflow,fcnet,training,1,0.6072321534156799,0.891700029373169,7154.405431
tensorflow,fcnet,training,2,0.3587600588798523,0.9031999707221984,3455.013041
tensorflow,fcnet,training,3,0.3173509836196899,0.9211000204086304,3472.640005
tensorflow,fcnet,training,4,0.2886169552803039,0.9258000254631042,3469.964236
tensorflow,fcnet,training,5,0.2644934356212616,0.9276000261306764,3452.55272
tensorflow,fcnet,training,6,0.2431411296129226,0.9277999997138976,3459.644295
tensorflow,fcnet,training,7,0.2246581614017486,0.9390000104904176,3446.798582
tensorflow,fcnet,training,8,0.2079117745161056,0.9376000165939332,3459.957287
tensorflow,fcnet,training,9,0.1935279816389084,0.9466999769210817,3447.59602
tensorflow,fcnet,training,10,0.1815697252750396,0.9495000243186952,3453.420499
tensorflow,fcnet,training,11,0.1701321452856063,0.9501000046730042,3455.75957
tensorflow,fcnet,training,12,0.1603311151266098,0.9517999887466432,3447.479205
tensorflow,fcnet,training,13,0.1514698415994644,0.9570000171661376,3446.228778
tensorflow,fcnet,training,14,0.1433672904968261,0.9562000036239624,3454.729765
tensorflow,fcnet,training,15,0.1358357965946197,0.9598000049591064,3456.701304
tensorflow,fcnet,inference,1,0.1363128721714019,0.9598000049591064,232.51116
tensorflow,scvnet,training,1,0.5056565999984741,0.9578999876976012,7362.955535
tensorflow,scvnet,training,2,0.1235111951828002,0.9721999764442444,5034.801514
tensorflow,scvnet,training,3,0.0851017981767654,0.973699986934662,5024.671878
tensorflow,scvnet,training,4,0.0688684359192848,0.9794999957084656,5033.691196
tensorflow,scvnet,training,5,0.057551521807909,0.9828000068664552,5072.683654
tensorflow,scvnet,training,6,0.0502719357609748,0.9812999963760376,5175.840867
tensorflow,scvnet,training,7,0.0436521805822849,0.9846000075340272,5033.712073
tensorflow,scvnet,training,8,0.0392747372388839,0.9843000173568726,5032.880641
tensorflow,scvnet,training,9,0.0357825346291065,0.9855999946594238,5033.955055
tensorflow,scvnet,training,10,0.031725849956274,0.9871000051498412,5039.898696
tensorflow,scvnet,training,11,0.0292364079505205,0.9854000210762024,5044.487416
tensorflow,scvnet,training,12,0.0261208843439817,0.987600028514862,5039.581403
tensorflow,scvnet,training,13,0.0238107852637767,0.9873999953269958,5047.850171
tensorflow,scvnet,training,14,0.0218752212822437,0.9865999817848206,5025.598606
tensorflow,scvnet,training,15,0.0197568088769912,0.9883000254631042,5040.307181
tensorflow,scvnet,inference,1,0.0407633073627948,0.9883000254631042,289.955102
tensorflow,resnet50,training,1,1.838423728942871,0.4271000027656555,143399.40447
tensorflow,resnet50,training,2,1.490035057067871,0.4864999949932098,119499.163122
tensorflow,resnet50,training,3,1.3322761058807373,0.5328999757766724,119533.662341
tensorflow,resnet50,training,4,1.2069132328033447,0.5453000068664551,119981.933426
tensorflow,resnet50,training,5,1.0980159044265747,0.5582000017166138,119990.344067
tensorflow,resnet50,training,6,0.997922956943512,0.5857999920845032,119998.586667
tensorflow,resnet50,training,7,0.9019612669944764,0.6177999973297119,120018.691498
tensorflow,resnet50,training,8,0.8200758695602417,0.6043999791145325,120000.9422
tensorflow,resnet50,training,9,0.7326421737670898,0.6420999765396118,120004.665366
tensorflow,resnet50,training,10,0.6525912284851074,0.6419000029563904,120005.992198
tensorflow,resnet50,training,11,0.5776445865631104,0.6482999920845032,119971.378911
tensorflow,resnet50,training,12,0.515631377696991,0.6477000117301941,120058.84718
tensorflow,resnet50,training,13,0.4545393884181976,0.6428999900817871,120073.687834
tensorflow,resnet50,training,14,0.4094992578029632,0.6543999910354614,120018.990828
tensorflow,resnet50,training,15,0.362876832485199,0.6402000188827515,120012.620182
tensorflow,resnet50,inference,1,1.2600847482681274,0.6402000188827515,3704.533095
tensorflow,densenet121,training,1,1.7048699855804443,0.4379999935626983,129223.872449
tensorflow,densenet121,training,2,1.3759698867797852,0.5303999781608582,87510.231755
tensorflow,densenet121,training,3,1.1851592063903809,0.5493999719619751,87549.347158
tensorflow,densenet121,training,4,1.0487526655197144,0.6273999810218811,87521.241404
tensorflow,densenet121,training,5,0.9296343922615052,0.6269000172615051,87517.613392
tensorflow,densenet121,training,6,0.8290332555770874,0.6593000292778015,87559.356011
tensorflow,densenet121,training,7,0.7438051700592041,0.6743999719619751,87376.868491
tensorflow,densenet121,training,8,0.6599496603012085,0.6704999804496765,87271.131669
tensorflow,densenet121,training,9,0.5966283679008484,0.6866000294685364,87467.783405
tensorflow,densenet121,training,10,0.5354555249214172,0.6832000017166138,87482.622307
tensorflow,densenet121,training,11,0.4712928235530853,0.6929000020027161,87502.583901
tensorflow,densenet121,training,12,0.4219583570957184,0.6901999711990356,87447.877436
tensorflow,densenet121,training,13,0.3749663233757019,0.7161999940872192,87497.425255
tensorflow,densenet121,training,14,0.3308278024196625,0.7031000256538391,87414.739472
tensorflow,densenet121,training,15,0.2928194999694824,0.6935999989509583,87636.968711
tensorflow,densenet121,inference,1,1.1413376331329346,0.6935999989509583,3388.388194
tensorflow,mobilenet_v2,training,1,1.83623206615448,0.1000000014901161,91733.8375
tensorflow,mobilenet_v2,training,2,1.5225666761398315,0.1000000014901161,75345.625261
tensorflow,mobilenet_v2,training,3,1.373334527015686,0.1000000014901161,75495.659462
tensorflow,mobilenet_v2,training,4,1.2791006565093994,0.2980999946594238,75435.91797
tensorflow,mobilenet_v2,training,5,1.1958249807357788,0.5807999968528748,75444.964564
tensorflow,mobilenet_v2,training,6,1.1318440437316897,0.5760999917984009,75369.177367
tensorflow,mobilenet_v2,training,7,1.0717241764068604,0.6080999970436096,75349.645372
tensorflow,mobilenet_v2,training,8,1.0234519243240356,0.607699990272522,75368.290514
tensorflow,mobilenet_v2,training,9,0.968622863292694,0.6051999926567078,75365.57393
tensorflow,mobilenet_v2,training,10,0.9365418553352356,0.63919997215271,75362.432178
tensorflow,mobilenet_v2,training,11,0.8990879058837891,0.6050999760627747,75381.335886
tensorflow,mobilenet_v2,training,12,0.8570254445075989,0.6412000060081482,75349.569267
tensorflow,mobilenet_v2,training,13,0.8265142440795898,0.6363000273704529,75362.305871
tensorflow,mobilenet_v2,training,14,0.7925857305526733,0.6470000147819519,75483.375651
tensorflow,mobilenet_v2,training,15,0.765833854675293,0.6498000025749207,75384.629806
tensorflow,mobilenet_v2,inference,1,1.0159765481948853,0.6498000025749207,2495.782459
tensorflow,convnext_small,training,1,1.5489778518676758,0.4954000115394592,238275.267501
tensorflow,convnext_small,training,2,1.2589555978775024,0.54339998960495,189343.878987
tensorflow,convnext_small,training,3,1.122172474861145,0.5512999892234802,190872.458412
tensorflow,convnext_small,training,4,1.0048977136611938,0.5306000113487244,188768.490649
tensorflow,convnext_small,training,5,0.892271876335144,0.5593000054359436,188108.590174
tensorflow,convnext_small,training,6,0.7868071794509888,0.5666999816894531,189291.931411
