mnames,type,eps,loss,acc,times
convnext_small,training,6,0.7868071794509888,0.5666999816894531,189291931411
convnext_small,training,7,0.6787600517272949,0.5705000162124634,192004341400
convnext_small,training,8,0.5690785646438599,0.5601000189781189,190318039891
convnext_small,training,9,0.4623762369155884,0.5641000270843506,190697842277
convnext_small,training,10,0.3626725673675537,0.5583999752998352,187843517290
convnext_small,training,11,0.2671831548213959,0.5616999864578247,191309056740
convnext_small,training,12,0.18196114897727966,0.5667999982833862,189009346779
convnext_small,training,13,0.11709025502204895,0.5740000009536743,188573231557
convnext_small,training,14,0.06626949459314346,0.5728999972343445,188255460078
convnext_small,training,15,0.034852586686611176,0.5759000182151794,188046689492
convnext_small,inference,1,1.7143136262893677,0.5759000182151794,12363358071
